Distance (um)	Xalm	Xsps	Xprp	Xgrs
1420	0.76390987	0.08925117	0.07095274	0.07588623
1430	0.76091473	0.08854372	0.07196784	0.07857371
1440	0.76727281	0.08911499	0.06724488	0.07636732
1450	0.76942594	0.08931804	0.06566562	0.0755904
1460	0.76637847	0.08830587	0.06890604	0.07640962
1470	0.76806735	0.08757846	0.06715006	0.07720412
1480	0.76953196	0.08619144	0.06984496	0.07443163
1490	0.77551577	0.08483786	0.06572092	0.07392544
1500	0.77195562	0.08664882	0.06590171	0.07549385
1510	0.77052977	0.08538023	0.06864595	0.07544406
1520	0.76869267	0.08500381	0.06895677	0.07734675
1530	0.77012915	0.08473598	0.06837913	0.07675574
1540	0.76990012	0.08426519	0.06904709	0.07678759
1550	0.77226351	0.08390238	0.06848393	0.07535018
1560	0.772105	0.08369877	0.06851288	0.07568334
1570	0.77076722	0.08289167	0.06945848	0.07688263
1580	0.77007389	0.08270314	0.07016189	0.07706107
1590	0.77181908	0.08212091	0.06873407	0.07732593
1600	0.77239726	0.08206106	0.06885037	0.07669131
1610	0.77083502	0.08180482	0.06928074	0.07807942
1620	0.77301873	0.081244	0.06821468	0.07752259
1630	0.7717736	0.08070228	0.06940695	0.07811717
1640	0.77447373	0.08044068	0.06781865	0.07726694
1650	0.77242664	0.08017877	0.06987409	0.07752051
1660	0.77302673	0.0794668	0.06890997	0.0785965
1670	0.77413441	0.07941971	0.069708	0.07673789
1680	0.77420153	0.07899899	0.06889366	0.07790582
1690	0.77389491	0.07848784	0.07005957	0.07755769
1700	0.77452185	0.07870891	0.0686553	0.07811393
1710	0.77404604	0.07814292	0.06957426	0.07823677
1720	0.77403944	0.07722578	0.07093232	0.07780246
1730	0.77350377	0.07728719	0.07112791	0.07808114
1740	0.77466952	0.07705959	0.06964593	0.07862496
1750	0.775099	0.07596515	0.06982082	0.07911503
1760	0.7733432	0.07614565	0.07157184	0.07893931
1770	0.77661667	0.07587088	0.0689592	0.07855325
1780	0.77361865	0.07595829	0.06971152	0.08071155
1790	0.77521173	0.07506929	0.07073477	0.07898422
1800	0.77427824	0.07538024	0.07087648	0.07946503
1810	0.77715241	0.07452459	0.06900084	0.07932216
1820	0.7771415	0.07324444	0.06993872	0.07967534
1830	0.77602643	0.07363045	0.07109606	0.07924706
1840	0.77638308	0.07391446	0.07060593	0.07909653
1850	0.77626933	0.07311438	0.07089065	0.07972564
1860	0.77701653	0.07250743	0.07091856	0.07955749
1870	0.77702798	0.07226208	0.07124742	0.07946252
1880	0.77831589	0.07142848	0.07069867	0.07955696
1890	0.77914971	0.0704703	0.07104179	0.0793382
1900	0.77920662	0.07031851	0.0705614	0.07991346
1910	0.77832879	0.07020654	0.07120123	0.08026344
1920	0.78077469	0.06977909	0.0707464	0.07869981
1930	0.77967019	0.06957665	0.07266672	0.07808644
1940	0.78031675	0.06870566	0.07161314	0.07936445
1950	0.78109036	0.06858028	0.07097519	0.07935417
1960	0.78012698	0.06840287	0.07218485	0.0792853
1970	0.78270508	0.06811296	0.07113853	0.07804343
1980	0.77986025	0.06845201	0.07168688	0.08000086
1990	0.78137912	0.06803349	0.07068015	0.07990723
2000	0.78391994	0.06746263	0.07034611	0.07827132
2010	0.78333879	0.06661253	0.07081572	0.07923296
2020	0.78168293	0.06616208	0.07270513	0.07944986
2030	0.78168457	0.06520804	0.07400295	0.07910445
2040	0.78148062	0.06435596	0.07331098	0.08085244
2050	0.7842858	0.06464576	0.07270144	0.07836701
2060	0.78465976	0.06373096	0.0720388	0.07957048
2070	0.78392127	0.06302545	0.07260006	0.08045322
2080	0.78672714	0.06238138	0.07191315	0.07897832
2090	0.78546171	0.06179626	0.07259028	0.08015175
2100	0.78626107	0.0614603	0.07357083	0.0787078
2110	0.78754172	0.06102029	0.07319868	0.0782393
2120	0.78837538	0.06066268	0.07272962	0.07823232
2130	0.78895859	0.06036842	0.07227452	0.07839847
2140	0.78858069	0.06035006	0.07241687	0.07865238
2150	0.78875594	0.06005343	0.07263215	0.07855849
2160	0.78968504	0.0595025	0.07232853	0.07848394
2170	0.78875479	0.05851446	0.07335346	0.07937729
2180	0.79021156	0.05786157	0.07418802	0.07773885
2190	0.78995274	0.05762083	0.07426121	0.07816522
2200	0.79159922	0.05704807	0.07273868	0.07861404
2210	0.79088605	0.05640633	0.07476882	0.0779388
2220	0.7910532	0.05638585	0.07497907	0.07758188
2230	0.79276387	0.05576659	0.07338592	0.07808362
2240	0.79263559	0.05466189	0.07584509	0.07685742
2250	0.79262928	0.05439353	0.07489701	0.07808017
2260	0.79248516	0.05388405	0.07556376	0.07806703
2270	0.79384698	0.05294716	0.07642253	0.07678333
2280	0.79348617	0.0531623	0.07615296	0.07719858
2290	0.79523661	0.05204889	0.07629094	0.07642356
2300	0.79484633	0.05189961	0.07575443	0.07749963
2310	0.79630703	0.05112117	0.07638845	0.07618335
2320	0.79694932	0.05105559	0.07559423	0.07640086
2330	0.79607419	0.05038066	0.07628022	0.07726494
2340	0.79592528	0.0503544	0.07652034	0.07719997
2350	0.79756681	0.04984028	0.07694406	0.07564885
2360	0.79697191	0.04941733	0.07804798	0.07556278
2370	0.79825103	0.04911891	0.07701669	0.07561338
2380	0.80052556	0.04826094	0.0761601	0.0750534
2390	0.79908081	0.04820908	0.07760603	0.07510409
2400	0.80044753	0.04808463	0.07725193	0.07421591
2410	0.80014647	0.04715944	0.07774402	0.07495007
2420	0.80066718	0.04750416	0.07775255	0.07407611
2430	0.79970272	0.04668872	0.07909577	0.07451279
2440	0.801133	0.04609907	0.07929731	0.07347062
2450	0.80172134	0.04606952	0.07862226	0.07358688
2460	0.79941823	0.04588417	0.08014346	0.07455414
2470	0.80392001	0.04554717	0.0784028	0.07213001
2480	0.80321363	0.04482558	0.08014529	0.0718155
2490	0.80670856	0.04428549	0.07916487	0.06984108
2500	0.80587697	0.04402514	0.08044365	0.06965424
2510	0.80856492	0.04397732	0.07906701	0.06839075
2520	0.80862654	0.04397539	0.08016653	0.06723154
2530	0.80692953	0.04377485	0.08232318	0.06697244
2540	0.80811312	0.04395259	0.08149913	0.06643517
2550	0.80966863	0.04356595	0.08225042	0.064515
2560	0.81153016	0.04354233	0.081457	0.0634705
2570	0.8109204	0.04327474	0.08313834	0.06266652
2580	0.81298189	0.04286557	0.08289646	0.06125608
2590	0.81338189	0.04291859	0.08334517	0.06035436
2600	0.81491129	0.04225161	0.08407132	0.05876578
2610	0.81739238	0.04244999	0.08376687	0.05639076
2620	0.81739421	0.04184067	0.0842136	0.05655152
2630	0.81850294	0.041692	0.08465561	0.05514945
2640	0.82610259	0.04069244	0.08088955	0.05231542
2650	0.82214303	0.04109944	0.08460218	0.05215536
2660	0.82638015	0.04045472	0.08306206	0.05010307
2670	0.82462723	0.04120426	0.08583905	0.04832946
2680	0.82744421	0.04060492	0.08501124	0.04693963
2690	0.82618954	0.04036506	0.08891406	0.04453134
2700	0.82756689	0.04045789	0.08674323	0.04523199
2710	0.8326863	0.03900617	0.08640371	0.04190382
2720	0.83229751	0.03799163	0.08982099	0.04036475
2730	0.83114117	0.03690659	0.09228968	0.04069275
2740	0.83113062	0.0366721	0.09336406	0.04090433
2750	0.83056993	0.03750804	0.09312209	0.04157136
2760	0.83569398	0.03603566	0.09284501	0.03586817
2770	0.83514854	0.03826047	0.09042473	0.03662993
2780	0.83909266	0.03763858	0.09049089	0.03509814
2790	0.83654454	0.03858058	0.09008942	0.03478546
2800	0.83589647	0.0388533	0.09090227	0.03434796
2810	0.83868527	0.03841137	0.0908201	0.03208327
2820	0.8393576	0.03869596	0.0917197	0.03022675
2830	0.84051819	0.03804693	0.09151212	0.02992276
2840	0.84150779	0.03800493	0.09279151	0.02769577
2850	0.84397377	0.03791265	0.0906791	0.02743448
2860	0.84198242	0.03822607	0.09215599	0.02763552
2870	0.84356689	0.03742554	0.09208491	0.02692266
2880	0.84529823	0.03759717	0.09176844	0.02533616
2890	0.84388997	0.03737135	0.09330336	0.02543532
2900	0.84349456	0.03726167	0.09380504	0.02543874
2910	0.8470946	0.03698403	0.09150455	0.02441682
2920	0.84381924	0.03714586	0.0940328	0.0250021
2930	0.84242554	0.0371812	0.09644308	0.02395018
2940	0.84613621	0.03620873	0.09432697	0.02332809
2950	0.84536159	0.03619575	0.0949333	0.02350936
2960	0.84597668	0.03589888	0.09444889	0.02367555
2970	0.84384194	0.03554888	0.09562839	0.02498079
2980	0.84322815	0.03526081	0.09470801	0.02680303
2990	0.84477778	0.03485175	0.09412881	0.02624166
3000	0.84637037	0.03467491	0.09590775	0.02304697
3010	0.84848887	0.03392884	0.09573264	0.02184965
3020	0.8467189	0.03416939	0.0972498	0.02186191
3030	0.84861158	0.03392837	0.09643971	0.02102033
3040	0.84885168	0.03382654	0.09644173	0.02088005
3050	0.84898969	0.03339701	0.09700402	0.02060928
3060	0.85028688	0.03298833	0.09660583	0.02011896
3070	0.8510571	0.03235707	0.09707627	0.01950956
3080	0.84938859	0.03253588	0.09810986	0.01996567
3090	0.85164244	0.03230283	0.09674435	0.01931038
3100	0.85137036	0.0320792	0.0972786	0.01927185
3110	0.84970858	0.03146456	0.09930523	0.01952164
3120	0.8519219	0.03145818	0.09837398	0.01824594
3130	0.85269439	0.03116954	0.09769715	0.01843892
3140	0.8524622	0.03095253	0.09843248	0.01815279
3150	0.84939155	0.03122663	0.10038952	0.0189923
3160	0.85010284	0.03028143	0.10053531	0.01908042
3170	0.85183751	0.02993242	0.09947882	0.01875125
3180	0.85231757	0.03019718	0.09902622	0.01845903
3190	0.85235378	0.02980584	0.09872072	0.01911966
3200	0.85411697	0.02891613	0.09743773	0.01952918
3210	0.85210731	0.02913491	0.09898991	0.01976786
3220	0.85245841	0.02904848	0.09821134	0.02028177
3230	0.85196928	0.02832835	0.10107121	0.01863116
3240	0.85636263	0.02772572	0.09888709	0.01702457
3250	0.85589749	0.02792651	0.09995399	0.016222
3260	0.85423317	0.0276444	0.10294066	0.01518177
3270	0.856468	0.0272226	0.10180963	0.01449977
3280	0.85775218	0.02705879	0.10120294	0.01398609
3290	0.85660836	0.02633576	0.10326999	0.01378588
3300	0.85767034	0.02654551	0.10241163	0.01337253
3310	0.85760567	0.02608145	0.1041418	0.01217108
3320	0.85798377	0.0253335	0.10441259	0.01227014
3330	0.85834204	0.02558557	0.10396013	0.01211226
3340	0.85906543	0.02493052	0.10433561	0.01166844
3350	0.85962891	0.02486795	0.10396195	0.01154118
3360	0.85847914	0.02462025	0.10563719	0.01126342
3370	0.86025831	0.02422517	0.10445913	0.01105739
3380	0.85813816	0.02429831	0.10587521	0.01168831
3390	0.85864411	0.02378319	0.1066313	0.0109414
3400	0.85923952	0.02345807	0.10662399	0.01067842
3410	0.85967311	0.02346059	0.1058265	0.0110398
3420	0.85926391	0.02358848	0.10644589	0.01070173
3430	0.85843056	0.02301537	0.10813051	0.01042357
3440	0.85871838	0.02267362	0.10745216	0.01115585
3450	0.86183847	0.02270394	0.10457656	0.01088102
3460	0.86082374	0.02257246	0.10557641	0.01102739
3470	0.85965198	0.02243853	0.10672535	0.01118414
3480	0.85917454	0.02264907	0.10702449	0.01115189
3490	0.86050396	0.02217248	0.10685143	0.01047213
3500	0.86055778	0.02177609	0.10826322	0.01075539
3510	0.86001244	0.02186606	0.1073973	0.0107242
3520	0.8609868	0.02171797	0.10671167	0.01058356
3530	0.86040412	0.0215611	0.10731902	0.01071575
3540	0.86125557	0.02119829	0.1070879	0.01045824
3550	0.86049153	0.02117874	0.10767328	0.01065645
3560	0.86176223	0.0212492	0.10622018	0.01076839
3570	0.85953344	0.02092354	0.10833258	0.01121044
3580	0.86058192	0.02081197	0.10783407	0.01077204
3590	0.85983124	0.02093691	0.10884066	0.01039118
3600	0.85932398	0.02059724	0.10962538	0.0104534
3610	0.86021405	0.02045285	0.10916202	0.01017108
3620	0.85860857	0.02045243	0.11037083	0.01056818
3630	0.85857984	0.02044335	0.11046681	0.01051
3640	0.85779271	0.02025723	0.11024373	0.01170633
3650	0.85779271	0.02025723	0.11024373	0.01170633
3660	0.85724344	0.02032121	0.11068782	0.01174754
3670	0.85667702	0.02022834	0.1115927	0.01150194
3680	0.85494768	0.0201016	0.1129788	0.01197192
3690	0.85747025	0.02009991	0.10966859	0.01276124
3700	0.85449747	0.01983038	0.11115178	0.01452037
3710	0.85300676	0.01949498	0.10944933	0.01804894
3720	0.85003191	0.01964248	0.10991951	0.0204061
3730	0.84872465	0.01940854	0.11046426	0.02140254
3740	0.84582818	0.01908943	0.11144627	0.02363611
3750	0.84621893	0.0185812	0.11173614	0.02346373
3760	0.84622457	0.01824263	0.11370071	0.02183209
3770	0.84777171	0.01779158	0.11392839	0.02050832
3780	0.84617521	0.01779462	0.11544423	0.02058594
3790	0.83877721	0.01671038	0.12403765	0.02047476
3800	0.84563552	0.01641093	0.11586026	0.02209329
3810	0.84677715	0.01610803	0.11537417	0.02174065
3820	0.84461512	0.01571731	0.11937585	0.02029172
3830	0.84647894	0.01528592	0.1198058	0.01842933
3840	0.84416484	0.01449984	0.12383641	0.01749891
3850	0.84628943	0.01431203	0.12305518	0.01634336
3860	0.8439064	0.01388173	0.12734731	0.01486456
3870	0.84243637	0.0134934	0.13039618	0.01367404
3880	0.84473879	0.01291498	0.1296583	0.01268794
3890	0.84491895	0.01250009	0.12961224	0.01296872
3900	0.84637795	0.01223612	0.12908573	0.0123002
3910	0.84502959	0.01176102	0.13054756	0.01266182
3920	0.84507376	0.01207368	0.12997215	0.01288042
3930	0.84539289	0.01138963	0.13028724	0.01293024
3940	0.84518287	0.01111244	0.13037663	0.01332806
3950	0.84533663	0.01078024	0.13176475	0.01211838
3960	0.84896431	0.01014566	0.13026786	0.01251011
3970	0.8457472	0.00945552	0.13311885	0.01167843
3980	0.846026	0.00952177	0.13289752	0.0115547
3990	0.8456732	0.00897548	0.13376155	0.01158978
4000	0.84345928	0.0087206	0.13551786	0.01230226
4010	0.84214844	0.00807364	0.13745005	0.01232787
4020	0.84171063	0.00815478	0.13800934	0.01212525
4030	0.84172108	0.00757626	0.13825948	0.01244317
4040	0.84120313	0.00730769	0.13882043	0.01266875
4050	0.83901309	0.00736926	0.14114802	0.01246963
4060	0.83994892	0.00694823	0.14034489	0.01275796
4070	0.83890164	0.00661635	0.14206536	0.01241665
4080	0.83913383	0.00632762	0.1421037	0.01243485
4090	0.83873798	0.00627298	0.14214172	0.01284732
4100	0.83877727	0.00613662	0.14222738	0.01285873
4110	0.83813926	0.00601683	0.14369233	0.01215157
4120	0.83666229	0.00580523	0.14491423	0.01261825
4130	0.83608109	0.00547783	0.14607384	0.01236724
4140	0.83466564	0.00524458	0.14748764	0.01260214
4150	0.8345027	0.00503549	0.14824632	0.01221549
4160	0.83477389	0.00482374	0.14822686	0.01217551
4170	0.83602906	0.00482486	0.14697441	0.01217167
4180	0.83128457	0.00462553	0.15147949	0.01261042
4190	0.83266201	0.00438899	0.15081583	0.01213317
4200	0.83462424	0.0040794	0.14886437	0.01243199
4210	0.83166218	0.00409391	0.15163218	0.01261174
4220	0.83260221	0.00420708	0.15106646	0.01212425
4230	0.83171713	0.00381583	0.1516335	0.01283354
