Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
1270	3.01484121	0.00333763	1.96522946	0.3225446	2.58452639	0.06559047	0.03217645	8.01016662	0.86001244	0.02186606	0.1073973	0.0107242	0.11101483	0.01248817
1280	3.01129332	0.00343675	1.96430155	0.32447631	2.59590506	0.06526023	0.03225844	8.01336048	0.86055778	0.02177609	0.10826322	0.01075539	0.11192927	0.0125414
1290	3.0102842	0.0032879	1.96990932	0.32124454	2.58700136	0.06661167	0.03149347	8.01311405	0.86050396	0.02217248	0.10685143	0.01047213	0.11046763	0.012199
1300	3.01535772	0.00336449	1.97561619	0.31996361	2.56760121	0.06768056	0.03329488	8.00406073	0.85917454	0.02264907	0.10702449	0.01115189	0.11076159	0.01299805
1310	3.00689619	0.00324051	1.97515703	0.32101235	2.58433015	0.06747102	0.03364212	8.01282021	0.85965198	0.02243853	0.10672535	0.01118414	0.11042729	0.01302189
1320	3.01150385	0.00319614	1.9732996	0.31657839	2.58213019	0.06766728	0.03308992	8.00983505	0.86082374	0.02257246	0.10557641	0.01102739	0.10925316	0.01285059
1330	3.0116256	0.00347359	1.96712095	0.31365652	2.59391478	0.06807054	0.03262369	8.01219498	0.86183847	0.02270394	0.10457656	0.01088102	0.10823123	0.01266373
1340	3.01879643	0.00344259	1.96438352	0.32217899	2.57399904	0.06797622	0.03346666	8.00701234	0.85871838	0.02267362	0.10745216	0.01115585	0.11120679	0.01300927
1350	3.01236308	0.00319535	1.96450996	0.3250457	2.58461063	0.06917551	0.03129306	8.01417991	0.85843056	0.02301537	0.10813051	0.01042357	0.11188565	0.01217294
1360	3.01378413	0.00337645	1.97072208	0.31937234	2.57719426	0.07074476	0.03211201	8.00776583	0.85926391	0.02358848	0.10644589	0.01070173	0.11022252	0.01246983
1370	3.01404021	0.00344838	1.96683873	0.31798554	2.58242277	0.07042451	0.03313719	8.0098868	0.85967311	0.02346059	0.1058265	0.0110398	0.10959641	0.0128477
1380	3.01847336	0.00344387	1.96762298	0.31953361	2.57274079	0.07024582	0.0319624	8.00451973	0.85923952	0.02345807	0.10662399	0.01067842	0.11039322	0.01244171
1390	3.01929969	0.00338593	1.95665866	0.32061839	2.58241417	0.07148697	0.03285957	8.01124672	0.85864411	0.02378319	0.1066313	0.0109414	0.11047166	0.01276282
1400	3.01500777	0.00372052	1.97108764	0.31728247	2.57057426	0.07278782	0.03505504	8.00594027	0.85813816	0.02429831	0.10587521	0.01168831	0.10982747	0.01364127
1410	3.02157253	0.00323214	1.96014105	0.31269367	2.58030239	0.07253291	0.03310086	8.00667404	0.86025831	0.02422517	0.10445913	0.01105739	0.10828366	0.01286852
1420	3.01704858	0.00341103	1.96964818	0.31651502	2.57181579	0.07375765	0.03374899	8.00348736	0.85847914	0.02462025	0.10563719	0.01126342	0.10956274	0.01312983
